name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit_2026,dead_cap,position,age,total_contract_value,team,years_remaining,epa_total,snaps_played,games_missed,player_id
Mike McGlinchey,16990000.0,6275000.0,0.0,0.0,510000.0,0.0,0.0,0.0,23775000.0,0.0,OL,31,0.0,DEN,1,0.394,65,16,den_ol_mike_mcglinchey
Zach Allen,1300000.0,11375000.0,3037000.0,0.0,765000.0,0.0,0.0,17250000.0,16477000.0,0.0,DL,29,0.0,DEN,1,7.967716666666667,619,7,den_dl_zach_allen
D.J. Jones,12490000.0,1600000.0,0.0,0.0,510000.0,0.0,0.0,13000000.0,14570000.0,0.0,DL,31,0.0,DEN,1,7.967716666666667,619,7,den_dl_d_j__jones
Evan Engram,10990000.0,2666666.0,0.0,0.0,510000.0,0.0,0.0,5000000.0,14136666.0,0.0,TE,32,0.0,DEN,1,7.349425,747,5,den_te_evan_engram
Courtland Sutton,4735000.0,6075000.0,2400000.0,0.0,765000.0,0.0,0.0,17500000.0,13975000.0,0.0,WR,31,0.0,DEN,1,17.989,1040,1,den_wr_courtland_sutton
Talanoa Hufanga,11000000.0,1500000.0,0.0,0.0,1000000.0,0.0,0.0,11000000.0,13500000.0,0.0,DB,26,0.0,DEN,1,-2.8346,65,16,den_db_talanoa_hufanga
Patrick Surtain II,1215000.0,3000000.0,8483400.0,0.0,0.0,0.0,0.0,7632000.0,12698400.0,0.0,DB,26,0.0,DEN,1,-2.8346,65,16,den_db_patrick_surtain_ii
Ben Powers,4650000.0,5550000.0,0.0,0.0,850000.0,0.0,0.0,4500000.0,10600000.0,0.0,OL,30,0.0,DEN,1,0.394,65,16,den_ol_ben_powers
Brandon Jones,6990000.0,1833334.0,0.0,0.0,510000.0,0.0,0.0,0.0,9243334.0,0.0,DB,28,0.0,DEN,1,-2.8346,65,16,den_db_brandon_jones
Quinn Meinerz,1215000.0,5428200.0,2055000.0,0.0,510000.0,0.0,0.0,1215000.0,9208200.0,0.0,OL,28,0.0,DEN,1,0.394,65,16,den_ol_quinn_meinerz
Garett Bolles,2300000.0,800000.0,4587000.0,0.0,765000.0,0.0,0.0,18235000.0,8452000.0,0.0,OL,34,0.0,DEN,1,0.394,65,16,den_ol_garett_bolles
Nik Bonitto,1215000.0,4400000.0,2806200.0,0.0,0.0,0.0,0.0,1215000.0,8421200.0,0.0,LB,27,0.0,DEN,1,7.967716666666667,619,7,den_lb_nik_bonitto
Jarrett Stidham,5990000.0,1500000.0,0.0,0.0,510000.0,0.0,0.0,2000000.0,8000000.0,0.0,QB,30,0.0,DEN,1,-0.636,130,15,den_qb_jarrett_stidham
Marvin Mims,5767000.0,353388.0,0.0,0.0,0.0,0.0,0.0,0.0,6120388.0,0.0,WR,24,0.0,DEN,1,7.6976,975,2,den_wr_marvin_mims
J.K. Dobbins,4000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,4000000.0,6000000.0,0.0,RB,28,0.0,DEN,1,-3.25788,448,10,den_rb_j_k__dobbins
Alex Singleton,3990000.0,1500000.0,0.0,0.0,510000.0,0.0,0.0,4500000.0,5970000.0,0.0,LB,33,0.0,DEN,1,7.967716666666667,619,7,den_lb_alex_singleton
Jonathon Cooper,1215000.0,4055000.0,0.0,0.0,510000.0,0.0,0.0,1725000.0,5780000.0,0.0,LB,28,0.0,DEN,1,7.967716666666667,619,7,den_lb_jonathon_cooper
Ja'Quan McMillian,5767000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5767000.0,0.0,DB,26,0.0,DEN,1,-2.8346,65,16,den_db_ja_quan_mcmillian
Bo Nix,1075000.0,2589212.0,0.0,1412106.0,0.0,0.0,0.0,2487106.0,5076318.0,0.0,QB,26,0.0,DEN,1,61.3381,1105,0,den_qb_bo_nix
Jaylen Waddle,1215000.0,3083200.0,0.0,0.0,510000.0,100000.0,0.0,1215000.0,4878200.0,0.0,WR,28,0.0,DEN,1,10.062375,809,4,den_wr_jaylen_waddle
Jahdae Barron,1661508.0,2446032.0,0.0,0.0,0.0,0.0,0.0,1661508.0,4107540.0,0.0,DB,25,0.0,DEN,1,-2.8346,65,16,den_db_jahdae_barron
Riley Moss,3674000.0,240453.0,0.0,0.0,0.0,0.0,0.0,0.0,3914453.0,0.0,DB,26,0.0,DEN,1,-2.8346,65,16,den_db_riley_moss
Luke Wattenberg,1215000.0,400000.0,1957000.0,0.0,0.0,0.0,0.0,1215000.0,3572000.0,0.0,OL,29,0.0,DEN,1,0.394,65,16,den_ol_luke_wattenberg
Adam Trautman,1745000.0,1333333.0,0.0,0.0,255000.0,0.0,0.0,1745000.0,3333333.0,0.0,TE,29,0.0,DEN,1,1.5429,942,2,den_te_adam_trautman
