player_name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit,dead_cap,position,age,total_value,team,years_remaining,epa_total,snaps_played,games_missed
Chris Jones,19000000.0,9750000.0,0.0,16000000.0,0.0,100000.0,0.0,35000000.0,44850000.0,0.0,DL,32,0.0,KC,1,,,
Patrick Mahomes,1300000.0,32353888.0,0.0,0.0,0.0,1000000.0,0.0,0.0,34653888.0,0.0,QB,31,0.0,KC,1,41.94,1040.0,1.0
Trey Smith,19750000.0,4495277.0,0.0,0.0,0.0,250000.0,0.0,19750000.0,24495277.0,0.0,OL,27,0.0,KC,1,,,
Nick Bolton,14750000.0,4250000.0,0.0,0.0,0.0,250000.0,0.0,15000000.0,19250000.0,0.0,LB,26,0.0,KC,1,,,
Jaylon Moore,14240000.0,3745000.0,0.0,0.0,510000.0,250000.0,0.0,7000000.0,18685000.0,0.0,OL,28,0.0,KC,1,,,
Creed Humphrey,14250000.0,3600000.0,0.0,0.0,0.0,250000.0,0.0,14250000.0,18100000.0,0.0,OL,27,0.0,KC,1,,,
Kristian Fulton,9750000.0,3000000.0,0.0,0.0,0.0,250000.0,0.0,5000000.0,13000000.0,0.0,DB,28,0.0,KC,1,,,
Mansoor Delane,885000.0,6738884.0,0.0,0.0,0.0,0.0,0.0,885000.0,7623884.0,0.0,,0,0.0,KC,1,,,
George Karlaftis,1215000.0,5937000.0,0.0,0.0,0.0,250000.0,0.0,1215000.0,7402000.0,0.0,DL,25,0.0,KC,1,,,
Harrison Butker,5805000.0,1400000.0,0.0,0.0,0.0,100000.0,0.0,5805000.0,7305000.0,0.0,K,31,0.0,KC,1,,,
Noah Gray,4740000.0,1500000.0,0.0,0.0,510000.0,250000.0,0.0,0.0,6970000.0,0.0,TE,27,0.0,KC,1,6.9932,1040.0,1.0
Kenneth Walker III,1215000.0,4333333.0,0.0,0.0,0.0,135000.0,0.0,1350000.0,5683333.0,0.0,RB,26,0.0,KC,1,,,
Drue Tranquill,2245000.0,2250000.0,0.0,0.0,255000.0,250000.0,0.0,2245000.0,5000000.0,0.0,LB,31,0.0,KC,1,,,
Travis Kelce,3000000.0,3551666.0,0.0,3000000.0,6000000.0,0.0,0.0,0.0,4896667.0,0.0,TE,37,0.0,KC,1,16.0475,1007.0,1.0
Chamarri Conner,3674000.0,187841.0,0.0,0.0,0.0,0.0,0.0,0.0,3861841.0,0.0,DB,26,0.0,KC,1,,,
Xavier Worthy,2048660.0,1712321.0,0.0,0.0,0.0,0.0,0.0,2048660.0,3760981.0,0.0,WR,23,0.0,KC,1,23.2625,1040.0,1.0
Felix Anudike-Uzomah,2361522.0,1398694.0,0.0,0.0,0.0,0.0,0.0,2361522.0,3760216.0,0.0,DL,24,0.0,KC,1,,,
Tyquan Thornton,1400000.0,2000000.0,0.0,0.0,0.0,100000.0,0.0,1400000.0,3500000.0,0.0,WR,26,0.0,KC,1,-4.8483,260.0,13.0
Alohi Gilman,1250000.0,2000000.0,0.0,0.0,0.0,250000.0,0.0,1500000.0,3500000.0,0.0,DB,29,0.0,KC,1,,,
Josh Simmons,1507062.0,1828246.0,0.0,0.0,0.0,0.0,0.0,1507062.0,3335308.0,0.0,OL,24,0.0,KC,1,,,
Peter Woods,885000.0,2383293.0,0.0,0.0,0.0,0.0,0.0,885000.0,3268293.0,0.0,,0,0.0,KC,1,,,
Khyiris Tonga,1215000.0,1866666.0,0.0,0.0,0.0,185000.0,0.0,1400000.0,3266666.0,0.0,DL,30,0.0,KC,1,,,
Justin Fields,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,0.0,QB,27,0.0,KC,1,,,
R Mason Thomas,885000.0,1332601.0,0.0,0.0,0.0,0.0,0.0,885000.0,2217601.0,0.0,,0,0.0,KC,1,,,
Rashee Rice,1635711.0,430949.0,0.0,0.0,0.0,0.0,0.0,0.0,2066660.0,0.0,WR,26,0.0,KC,1,13.1009,617.0,7.0
Kader Kohou,1145000.0,665000.0,0.0,0.0,0.0,0.0,0.0,1145000.0,1810000.0,0.0,DB,28,0.0,KC,1,,,
Kaiir Elam,1215000.0,0.0,0.0,0.0,595000.0,0.0,0.0,500000.0,1775000.0,0.0,DB,25,0.0,KC,1,,,
Kingsley Suamataia,1303774.0,372546.0,0.0,0.0,0.0,75000.0,0.0,0.0,1751320.0,0.0,OL,23,0.0,KC,1,,,
James Winchester,1300000.0,400000.0,0.0,0.0,0.0,0.0,0.0,1300000.0,1700000.0,0.0,LS,37,0.0,KC,1,,,
Omarr Norman-Lott,1167290.0,469159.0,0.0,0.0,0.0,0.0,0.0,1167290.0,1636449.0,0.0,DL,24,0.0,KC,1,,,
Ashton Gillotte,1096574.0,386295.0,0.0,0.0,0.0,50000.0,0.0,0.0,1532869.0,0.0,DL,24,0.0,KC,1,,,
Nohl Williams,1077978.0,311911.0,0.0,0.0,0.0,50000.0,0.0,0.0,1439889.0,0.0,DB,24,0.0,KC,1,,,
Jack Cochrane,1215000.0,150000.0,0.0,50000.0,0.0,0.0,0.0,500000.0,1415000.0,0.0,LB,27,0.0,KC,1,,,
Mike Caliendo,1150000.0,150000.0,0.0,0.0,50000.0,0.0,0.0,500000.0,1350000.0,0.0,OL,29,0.0,KC,1,0.788,65.0,16.0
Jared Wiley,1075000.0,172155.0,0.0,0.0,0.0,0.0,0.0,0.0,1247155.0,0.0,TE,26,0.0,KC,1,-0.1451,65.0,16.0
Emari Demercado,1150000.0,50000.0,0.0,0.0,50000.0,0.0,0.0,500000.0,1238235.0,0.0,RB,27,0.0,KC,1,,,
Jalen Royals,1005000.0,216800.0,0.0,0.0,0.0,0.0,0.0,0.0,1221800.0,0.0,WR,23,0.0,KC,1,,,
L'Jarius Sneed,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215000.0,0.0,DB,29,0.0,KC,1,,,
Cole Christiansen,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,247500.0,1215000.0,0.0,LB,29,0.0,KC,1,,,
Jaden Hicks,1075000.0,132177.0,0.0,0.0,0.0,0.0,0.0,0.0,1207177.0,0.0,DB,24,0.0,KC,1,-2.8346,65.0,16.0
Jadon Canady,885000.0,306833.0,0.0,0.0,0.0,0.0,0.0,0.0,1191833.0,0.0,,0,0.0,KC,1,,,
Hunter Nourzad,1075000.0,79879.0,0.0,0.0,0.0,0.0,0.0,0.0,1154879.0,0.0,OL,26,0.0,KC,1,,,
Jeffrey Bassa,1005000.0,103413.0,0.0,0.0,0.0,0.0,0.0,0.0,1108413.0,0.0,LB,24,0.0,KC,1,,,
Christian Roland-Wallace,1075000.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,1076668.0,0.0,DB,25,0.0,KC,1,,,
Nikko Remigio,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,WR,27,0.0,KC,1,-0.4015,65.0,16.0
Tanner McCalister,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,26,0.0,KC,1,,,
Matt Waletzko,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,27,0.0,KC,1,,,
Matt Araiza,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,P,26,0.0,KC,1,,,
Jason Brownlee,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,WR,27,0.0,KC,1,,,
C.J. Hanson,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,25,0.0,KC,1,,,
Brashard Smith,1005000.0,33369.0,0.0,0.0,0.0,0.0,0.0,0.0,1038369.0,0.0,RB,23,0.0,KC,1,,,
Ethan Driskell,1005000.0,13334.0,0.0,0.0,0.0,0.0,0.0,0.0,1018334.0,0.0,OL,26,0.0,KC,1,,,
Emmett Johnson,885000.0,121409.0,0.0,0.0,0.0,0.0,0.0,0.0,1006409.0,0.0,,0,0.0,KC,1,,,
