otc_name,otc_team,otc_position,nfl_name,nfl_team,nfl_position,match_score
Chris Jones,KC,,Chris Oladokun,KC,QB,64.0
Trey Smith,KC,,,,,0.0
Nick Bolton,KC,,,,,0.0
Jaylon Moore,KC,,,,,0.0
Creed Humphrey,KC,,,,,0.0
Kristian Fulton,KC,,,,,0.0
Mansoor Delane,KC,,,,,0.0
George Karlaftis,KC,,,,,0.0
Harrison Butker,KC,,,,,0.0
Kenneth Walker III,KC,,,,,0.0
Drue Tranquill,KC,,,,,0.0
Chamarri Conner,KC,,,,,0.0
Felix Anudike-Uzomah,KC,,,,,0.0
Alohi Gilman,KC,,,,,0.0
Josh Simmons,KC,,,,,0.0
Peter Woods,KC,,,,,0.0
Khyiris Tonga,KC,,,,,0.0
Justin Fields,KC,,,,,0.0
R Mason Thomas,KC,,,,,0.0
Kader Kohou,KC,,,,,0.0
Kaiir Elam,KC,,,,,0.0
Kingsley Suamataia,KC,,,,,0.0
James Winchester,KC,,Richie James,KC,WR,71.42857142857143
Omarr Norman-Lott,KC,,,,,0.0
Ashton Gillotte,KC,,,,,0.0
Nohl Williams,KC,,,,,0.0
Jack Cochrane,KC,,,,,0.0
Emari Demercado,KC,,,,,0.0
Jalen Royals,KC,,,,,0.0
L'Jarius Sneed,KC,,,,,0.0
Cole Christiansen,KC,,,,,0.0
Jadon Canady,KC,,,,,0.0
Hunter Nourzad,KC,,,,,0.0
Jeffrey Bassa,KC,,,,,0.0
Christian Roland-Wallace,KC,,,,,0.0
Tanner McCalister,KC,,,,,0.0
Matt Waletzko,KC,,,,,0.0
Matt Araiza,KC,,,,,0.0
Jason Brownlee,KC,,,,,0.0
C.J. Hanson,KC,,,,,0.0
Brashard Smith,KC,,,,,0.0
Ethan Driskell,KC,,,,,0.0
Emmett Johnson,KC,,,,,0.0
Chukwuebuka Godrick,KC,,,,,0.0
Kevin Knowles II,KC,,,,,0.0
Cooper McDonald,KC,,,,,0.0
Tyreke Smith,KC,,,,,0.0
Esa Pole,KC,,,,,0.0
Cyrus Allen,KC,,,,,0.0
Garrett Nussmeier,KC,,,,,0.0
Jake Briningstool,KC,,,,,0.0
Jeff Caldwell,KC,,,,,0.0
Pete Nygra,KC,,,,,0.0
Bryce Phillips,KC,,,,,0.0
DeShon Singleton,KC,,Peyton Hendershot,KC,TE,60.60606060606061
Vincent Anthony,KC,,,,,0.0
John Michael Gyllenborg,KC,,,,,0.0
Josh Thompson,KC,,,,,0.0
Xavier Nwankpa,KC,,,,,0.0
Zelmar Vedder,KC,,,,,0.0
Wesley Bissainthe,KC,,,,,0.0
Cole Brevard,KC,,Mecole Hardman,KC,WR,61.53846153846154
Damon Payne Jr.,KC,,,,,0.0
Omari Evans,KC,,,,,0.0
Ethan Downs,KC,,,,,0.0
